-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(11)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      68.663ms       236.63%      68.663ms      68.663ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      26.479ms        91.25%      26.479ms       3.310ms             8  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us      18.575ms        64.01%      18.575ms      16.585us          1120  
                  execute_context_1(17)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       5.165ms        17.80%       5.165ms       5.165ms             1  
                                               aten::mm         0.31%     336.156us         6.09%       6.565ms     656.488us       5.026ms        17.32%       6.534ms     653.416us            10  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       5.026ms        17.32%       5.026ms     502.647us            10  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.167ms         4.02%       1.167ms       5.209us           224  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us       1.096ms         3.78%       1.096ms       4.893us           224  
                       Runtime Triggered Module Loading        55.75%      60.044ms        55.75%      60.044ms      15.011ms       1.016ms         3.50%       1.016ms     254.002us             4  
                                  Lazy Function Loading         0.25%     266.291us         0.25%     266.291us      53.258us     511.044us         1.76%     511.044us     102.209us             5  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us     473.534us         1.63%     473.534us       1.691us           280  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us     418.665us         1.44%     418.665us       1.495us           280  
triton_per_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us     356.417us         1.23%     356.417us       1.320us           270  
triton_per_fused__to_copy_abs_add_clamp_cutlass_scal...         0.00%       0.000us         0.00%       0.000us       0.000us     351.871us         1.21%     351.871us       1.257us           280  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us     334.849us         1.15%     334.849us       1.196us           280  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     284.382us         0.98%     284.382us       1.053us           270  
                                _vllm_fa2_C::varlen_fwd         0.37%     403.676us        51.20%      55.151ms     984.831us     284.125us         0.98%     300.445us       5.365us            56  
